impl,B,H,S,D,dtype,mean_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
sdpa,1,8,64,64,fp16,0.1419633996486664,0.13117200136184692,0.15647539570927618,0.38821918025612745,0.11632400751113892,0.607698991894722
manual,1,8,64,64,fp16,0.401986600458622,0.4008924961090088,0.44354955777525895,0.5413654775917527,0.3666349947452545,0.6176819950342178
sdpa,1,8,128,64,fp16,0.1303425207734108,0.11857899278402328,0.14168935492634768,0.3848017153143874,0.10637199878692627,0.6030580103397369
manual,1,8,128,64,fp16,0.361807379424572,0.36101899296045303,0.3818680189549923,0.3987207946181297,0.34349800646305084,0.40365999937057495
sdpa,1,8,256,64,fp16,0.13541900038719176,0.12573100626468658,0.14369359984993935,0.3860570798814288,0.11177998781204224,0.6117300093173981
manual,1,8,256,64,fp16,0.362392398416996,0.3491625040769577,0.37737680301070214,0.7008039440214631,0.3278820067644119,0.7885359972715378
sdpa,1,8,512,64,fp16,0.19728606194257736,0.19232599437236786,0.21369935348629948,0.3218210649490353,0.17875699698925018,0.4176439940929413
manual,1,8,512,64,fp16,0.8132046601176262,0.8124560043215752,0.8227269411087036,0.8273315565288066,0.8061050027608871,0.8286329954862595
sdpa,1,8,1024,64,fp16,0.4753774803876877,0.47073399275541306,0.4801590032875538,0.5908612629771228,0.46017399430274963,0.687060996890068
manual,1,8,1024,64,fp16,2.6710883986949923,2.6126710027456284,2.87287639901042,2.8780423332750797,2.602510005235672,2.878230005502701
